name,longitude,latitude,transport_modes
Berikon-Widen,8.36637059431,47.36192405883,TRAIN
Beringen Bad Bf,8.574448442,47.69498961162,TRAIN
Beringerfeld,8.59218197398,47.69537157187,TRAIN
Berlingen,9.02202296306,47.67321378502,TRAIN
Bern,7.43913088992,46.9488322905,TRAIN
Bern  Europaplatz,7.40746951928,46.94344638513,TRAIN
Bern Brünnen Westside,7.3752780803,46.94403700837,TRAIN
Bern Bümpliz Nord,7.38975568783,46.94582923827,TRAIN
Bern Bümpliz Süd,7.3952379525,46.93748747604,TRAIN
Bern Europaplatz,7.40611755507,46.94420983292,TRAIN
Bern Felsenau,7.44424999405,46.96849999565,TRAIN
Bern Riedbach,7.33404996475,46.94115430246,TRAIN
Bern Stöckacker,7.40117854444,46.94636031683,TRAIN
Bern Tiefenau,7.45019999681,46.9727399978,TRAIN
Bern Wankdorf,7.46547780088,46.96782576596,TRAIN
Bern Weissenbühl,7.43001881112,46.93577935626,TRAIN
Bernina Diavolezza,9.98229000518,46.44178999938,TRAIN
Bernina Lagalb,9.99153601601,46.43632903599,TRAIN
Bernina Suot,9.96938999623,46.44484999575,TRAIN
Bettlach,7.42837301675,47.1949494147,TRAIN
Bettmeralp Talstation,8.07651985296,46.37115787248,TRAIN
Bettwiesen,9.02077963331,47.49862133115,TRAIN
Bevaix,6.81168026788,46.92969622607,TRAIN
Bever,9.88847,46.54990999754,TRAIN
Bex,7.00066990236,46.25146458229,TRAIN
Bex Pont-Neuf,7.02082000487,46.25052000203,TRAIN
Bex-Place-du-Marché,7.01442999428,46.25091000071,TRAIN
Biasca,8.97417921686,46.35198415241,TRAIN
Bibenlos-Sonnenhof,8.35027798183,47.35379141387,TRAIN
Biberbrugg,8.72271471268,47.15637863864,TRAIN
Biberegg,8.66944317767,47.09360991035,TRAIN
Biberist Ost,7.56619090812,47.18060191898,TRAIN
Biberist RBS,7.55583057208,47.18386000659,TRAIN
Biel (Goms),8.21942861919,46.45505651108,TRAIN
Biel Mett,7.27248725632,47.14472528387,TRAIN
Biel/Bienne,7.24291060323,47.13289787086,TRAIN
Biel/Bienne Bözingenfeld/Champ,7.29464813274,47.15838230221,TRAIN
Bigenthal,7.62337471465,46.96539813499,TRAIN
Biglen,7.62670288412,46.92461739244,TRAIN
Bilten,9.02991826857,47.15219293596,TRAIN
Binzenhof,8.05058639165,47.3832116659,TRAIN
Bioggio,8.90889000394,46.01210999847,TRAIN
Bioggio Molinazzo,8.91401000202,46.01235999719,TRAIN
Birmensdorf ZH,8.43755514081,47.35743137499,TRAIN
Birr,8.21766481836,47.43584669606,TRAIN
Birrwil,8.19901733189,47.28785660045,TRAIN
Bischofszell Nord,9.23403527651,47.50041521493,TRAIN
Bischofszell Stadt,9.24147856207,47.49214090871,TRAIN
Bitsch,8.01722378609,46.3360571686,TRAIN
Bière,6.33690999407,46.53743999364,TRAIN
Blankenburg,7.38532000532,46.54109999551,TRAIN
Blausee-Mitholz,7.67555743653,46.52896364827,TRAIN
Bleien Liebegg,8.11354569017,47.34352728666,TRAIN
Blitzingen,8.2049670155,46.44466486792,TRAIN
Blonay,6.89594000291,46.46568999527,TRAIN
Blumenau,8.84240509396,47.22367068252,TRAIN
Boden,7.43537999785,46.47077000187,TRAIN
Bodio TI,8.90656798528,46.38025452036,TRAIN
Bois-de-Chexbres,6.90152999463,46.47327999987,TRAIN
Boll-Utzigen,7.54677286673,46.95302053549,TRAIN
Bollement,7.12386478189,47.2969239035,TRAIN
Bolligen,7.49742000217,46.96953999764,TRAIN
Boltigen,7.39007365616,46.62736825552,TRAIN
Bonaduz,9.39776000565,46.81029000015,TRAIN
Boncourt,7.01655175225,47.49263186836,TRAIN
Bonfol,7.1548840055,47.47442499685,TRAIN
Boniswil,8.18456054926,47.3150387366,TRAIN
Bonstetten-Wettswil,8.46819690043,47.32590133193,TRAIN
Borgnone-Cadanza,8.62249999959,46.1585200005,TRAIN
Bossière,6.69932176237,46.50974851438,TRAIN
Bossonnens,6.85324187226,46.52570379879,TRAIN
Boswil-Bünzen,8.31528358765,47.30518168342,TRAIN
Bottighofen,9.21310411429,47.64070724442,TRAIN
Boudry,6.83504762399,46.95945708723,TRAIN
Boudry Littorail,6.83914771164,46.94948454823,TRAIN
Boudry Tuilière,6.84283013683,46.95146480533,TRAIN
Bouquetins,7.07233999959,46.31640000233,TRAIN
Bouveret,6.8532438578,46.38581715889,TRAIN
Bovernier,7.08215513338,46.07869158237,TRAIN
Bowil,7.69805352593,46.90004819358,TRAIN
Bremgarten,8.34648741256,47.3515177113,TRAIN
Bremgarten Isenlauf,8.3415255869,47.34606531932,TRAIN
Bremgarten Obertor,8.34374932692,47.35056777061,TRAIN
Bremgarten West,8.33711091194,47.34569056576,TRAIN
Brenzikofen,7.61074516003,46.81834475607,TRAIN
Bretonnières,6.47473250427,46.71505532993,TRAIN
Brienz,8.03894632985,46.75484373696,TRAIN
Brienz West,8.02037664339,46.75731227768,TRAIN
Brienzwiler,8.09069606082,46.74545227095,TRAIN
Brig,7.9880947394,46.31942270578,TRAIN
Brig Autoverlad,7.99279370418,46.32094589162,TRAIN
Brig Bahnhofplatz,7.98638354897,46.31900817454,TRAIN
Brittnau-Wikon,7.95704084851,47.26266615496,TRAIN
Broc-Chocolaterie,7.10933902374,46.60541552428,TRAIN
Broc-Village,7.09873999895,46.60405000133,TRAIN
Bronschhofen,9.03467787496,47.47544437918,TRAIN
Bronschhofen AMP,9.03092805218,47.48126713287,TRAIN
Brugg AG,8.20884455349,47.48085983498,TRAIN
Brunnadern-Neckertal,9.13059538196,47.33782748621,TRAIN
Brunnen,8.61006766101,46.99917491314,TRAIN
